#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
        2.39           2        2.41       2.205        0.41   1.959e+05
       2.036           2         2.5        2.25         0.5   2.394e+05
       2.122           2         2.5        2.25         0.5   2.394e+05
       2.481           2         2.5        2.25         0.5   2.394e+05
       2.398           2         2.5        2.25         0.5   2.394e+05
       2.398           2         2.5        2.25         0.5   2.394e+05
       2.158           2       2.338       2.169       0.338   1.613e+05
       2.199           2         2.5        2.25         0.5   2.394e+05
        2.33           2        2.39       2.195        0.39   1.863e+05
        2.09           2         2.5        2.25         0.5   2.394e+05
        2.33           2        2.39       2.195        0.39   1.863e+05
       2.316           2         2.5        2.25         0.5   2.394e+05
       2.122           2         2.5        2.25         0.5   2.394e+05
        2.02           2         2.5        2.25         0.5   2.394e+05
       2.104           2         2.5        2.25         0.5   2.394e+05
       2.219           2         2.5        2.25         0.5   2.394e+05
       2.046           2         2.5        2.25         0.5   2.394e+05
       2.011           2         2.5        2.25         0.5   2.394e+05
       2.243           2         2.5        2.25         0.5   2.394e+05
        2.39           2        2.41       2.205        0.41   1.959e+05
       2.017           2       2.357       2.178       0.357   1.704e+05
       2.219           2         2.5        2.25         0.5   2.394e+05
       2.302           2         2.5        2.25         0.5   2.394e+05
       2.205           2         2.5        2.25         0.5   2.394e+05
       2.158           2       2.338       2.169       0.338   1.613e+05
       2.215           2         2.5        2.25         0.5   2.394e+05
       2.171           2         2.5        2.25         0.5   2.394e+05
        2.26           2         2.5        2.25         0.5   2.394e+05
        2.09           2         2.5        2.25         0.5   2.394e+05
       2.046           2         2.5        2.25         0.5   2.394e+05
        2.03           2         2.5        2.25         0.5   2.394e+05
        2.33           2         2.5        2.25         0.5   2.394e+05
       2.068           2         2.5        2.25         0.5   2.394e+05
       2.084           2         2.5        2.25         0.5   2.394e+05
       2.046           2         2.5        2.25         0.5   2.394e+05
       2.002           2         2.5        2.25         0.5   2.394e+05
        2.31           2        2.33       2.165        0.33   1.574e+05
       2.215           2         2.5        2.25         0.5   2.394e+05
        2.05           2         2.5        2.25         0.5   2.394e+05
        2.03           2         2.5        2.25         0.5   2.394e+05
       2.403           2         2.5        2.25         0.5   2.394e+05
       2.231           2         2.5        2.25         0.5   2.394e+05
       2.088           2       2.388       2.194       0.388   1.853e+05
       2.416           2         2.5        2.25         0.5   2.394e+05
       2.032           2         2.5        2.25         0.5   2.394e+05
       2.243           2         2.5        2.25         0.5   2.394e+05
       2.017           2       2.357       2.178       0.357   1.704e+05
        2.05           2         2.5        2.25         0.5   2.394e+05
       2.398           2         2.5        2.25         0.5   2.394e+05
       2.101           2         2.5        2.25         0.5   2.394e+05
       2.336           2         2.5        2.25         0.5   2.394e+05
       2.017           2       2.357       2.178       0.357   1.704e+05
        2.45           2         2.5        2.25         0.5   2.394e+05
       2.403           2         2.5        2.25         0.5   2.394e+05
       2.441           2         2.5        2.25         0.5   2.394e+05
       2.215           2         2.5        2.25         0.5   2.394e+05
       2.435           2         2.5        2.25         0.5   2.394e+05
       2.002           2         2.5        2.25         0.5   2.394e+05
       2.458           2         2.5        2.25         0.5   2.394e+05
       2.104           2         2.5        2.25         0.5   2.394e+05
       2.243           2         2.5        2.25         0.5   2.394e+05
        2.31           2        2.33       2.165        0.33   1.574e+05
       2.499           2         2.5        2.25         0.5   2.394e+05
        2.17           2         2.5        2.25         0.5   2.394e+05
        2.11           2        2.17       2.085        0.17   8.065e+04
       2.199           2         2.5        2.25         0.5   2.394e+05
        2.32           2         2.5        2.25         0.5   2.394e+05
       2.435           2         2.5        2.25         0.5   2.394e+05
       2.011           2         2.5        2.25         0.5   2.394e+05
        2.32           2         2.5        2.25         0.5   2.394e+05
        2.04           2         2.5        2.25         0.5   2.394e+05
        2.03           2         2.5        2.25         0.5   2.394e+05
       2.036           2         2.5        2.25         0.5   2.394e+05
       2.403           2         2.5        2.25         0.5   2.394e+05
       2.205           2         2.5        2.25         0.5   2.394e+05
       2.084           2         2.5        2.25         0.5   2.394e+05
       2.046           2         2.5        2.25         0.5   2.394e+05
        2.13           2        2.33       2.165        0.33   1.574e+05
       2.365           2         2.5        2.25         0.5   2.394e+05
