#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       3.768           3           4         3.5           1   4.597e+05
       3.636           3       3.636       3.318       0.636   2.968e+05
       3.266           3           4         3.5           1   4.597e+05
        3.15           3        3.79       3.395        0.79   3.664e+05
       3.636           3       3.636       3.318       0.636   2.968e+05
        3.02           3        3.32        3.16        0.32    1.51e+05
        3.11           3        3.69       3.345        0.69   3.213e+05
        3.02           3        3.32        3.16        0.32    1.51e+05
        3.18           3           4         3.5           1   4.597e+05
        3.53           3           4         3.5           1   4.597e+05
        3.53           3        3.87       3.435        0.87   4.021e+05
       3.386           3       3.386       3.193       0.386   1.818e+05
       3.551           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
       3.238           3       3.238       3.119       0.238   1.126e+05
       3.214           3           4         3.5           1   4.597e+05
       3.568           3           4         3.5           1   4.597e+05
       3.485           3           4         3.5           1   4.597e+05
       3.636           3       3.636       3.318       0.636   2.968e+05
       3.663           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
       3.124           3       3.664       3.332       0.664   3.095e+05
       3.386           3       3.386       3.193       0.386   1.818e+05
        3.23           3        3.69       3.345        0.69   3.213e+05
       3.489           3           4         3.5           1   4.597e+05
        3.18           3           4         3.5           1   4.597e+05
       3.489           3           4         3.5           1   4.597e+05
        3.11           3        3.69       3.345        0.69   3.213e+05
       3.742           3           4         3.5           1   4.597e+05
       3.026           3           4         3.5           1   4.597e+05
       3.742           3           4         3.5           1   4.597e+05
       3.218           3       3.298       3.149       0.298   1.408e+05
       3.168           3       3.948       3.474       0.948   4.368e+05
       3.485           3           4         3.5           1   4.597e+05
        3.67           3           4         3.5           1   4.597e+05
