#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
       692     0.28100     0.28100       2.200        11.5325       2.340449       9.192053
       697    -1.00000     2.17190     101.000       36.30934       12.74638       23.56297
       702    -1.00000     2.50980      18.000       21.38601       18.88184       2.504175
       710    -1.00000     0.86540       6.100       2.226886    0.001083124       2.225803
       713     0.77620     0.77620       4.900       6.046388      0.4985432       5.547845
       714     4.05800     4.05800     101.000       1.129751   0.0004644943       1.129286
       718    -1.00000     1.00180       6.100       2.896113      0.1922169       2.703897
       719    -1.00000     1.98528      30.000       2.119768      0.5283175        1.59145
       721     0.59530     0.59530       4.900       4.347592      0.1333465       4.214245
       729     0.90500     0.90500     101.000       1.581229     0.08885045       1.492379
       737     0.58500     0.58500      12.100      0.2884818     0.01900854      0.2694732
       740    -1.00000     0.33580       9.700       2.246702     0.01188377       2.234818
       748    -1.00000     1.20220       9.700       1.683169      0.5329756       1.150194
       749     0.70800     0.70800      12.100       7.520722     0.07487606       7.445846
       753     0.33080     0.33080     101.000       7.936239       5.215413       2.720826
       760     0.86150     0.86150      14.500      0.7136544      0.1935025      0.5201519
       762     0.70700     0.70700      12.100       1.545571     0.02670406       1.518867
       768    -1.00000     2.62531      25.000      0.6966422      0.3766638      0.3199784
       776    -1.00000     0.68870       4.900       2.920563     0.05071205       2.869851
       779     1.45000     1.45000       9.700       21.61154       1.696645        19.9149
       786    -1.00000     2.28510      18.000       27.40938       26.13442       1.274961
       793    -1.00000     2.78230     101.000       17.21484       4.655417       12.55942
       804    -1.00000     0.91100       6.100       10.18781      0.3721312        9.81568
       805    -1.00000     1.61498      25.000       2.316915      0.2588164       2.058099
       807    -1.00000     2.61715      40.000       1.325372       1.325322   5.027504e-05
       808     0.47300     0.47300       9.700      0.2732885   4.420029e-19      0.2732885
       809    -1.00000     0.45600       4.900       2.869274   1.763662e-18       2.869274
       825     1.02200     1.02200      12.100       6.724653      0.8830498       5.841603
       826    -1.00000     0.76330       4.900       1.235655       0.168963       1.066692
       827    -1.00000     1.39110       9.700      0.3324475   2.503009e-19      0.3324475
       837    -1.00000     7.90100     101.000       1.465384       1.037471      0.4279135
       841    -1.00000     7.90100     101.000       5.948835       5.543222       0.405613
       849    -1.00000     1.68000      12.100       8.820527      0.1163849       8.704142
       860    -1.00000     2.84930      25.000       7.594868       1.694258        5.90061
       866    -1.00000     1.06570       6.100       10.93037      0.6695429       10.26083
       867    -1.00000     1.26335       9.700       6.036155       2.275141       3.761014
       870     0.84000     0.84000      12.100       0.218972      0.2189669   5.143327e-06
       872    -1.00000     2.17837      40.000       2.826535    0.002683624       2.823852
       877    -1.00000     1.53820      12.100       5.022538              0       5.022538
       878     0.27550     0.27550     101.000       3.673846    0.003275621        3.67057
       881    -1.00000     1.92320      35.000         2.9261      0.4959881       2.430112
       884    -1.00000     3.53067      30.000       7.400985   0.0001100223       7.400875
       885     0.90320     0.90320     101.000       2.524902       1.914692        0.61021
       886     0.47500     0.47500       4.900       2.764603      0.5998758       2.164727
       892     1.45000     1.45000       9.700       3.299433     0.01428584       3.285148
       893     0.94000     0.94000       6.100      0.1390329      0.1298479    0.009184985
       899    -1.00000     0.44690       9.700       4.936471      0.9541945       3.982277
       902     0.96200     0.96200       6.100      0.8570911      0.2738794      0.5832117
       915     2.63500     2.63500     101.000       4.612557       3.243895       1.368662
       917    -1.00000     1.36500      25.000   2.004585e-09    2.15015e-18   2.004585e-09
       922    -1.00000     1.68355      30.000       4.686316       1.601266        3.08505
       923    -1.00000     1.86744      12.100      0.4829109      0.4754388    0.007472131
       924    -1.00000     0.37410       4.900       6.266092     0.01753121       6.248561
       926    -1.00000     1.36600     101.000       15.07459       2.522638       12.55195
       928    -1.00000     0.85810       6.100       20.70849       1.283107       19.42538
       931    -1.00000     0.79250       4.900      0.1563408      0.0107095      0.1456313
       934     0.70780     0.70780       4.900       1.296884    0.002600781       1.294283
       937     1.03200     1.03200      18.000        9.76056       1.115999       8.644562
       939     0.94700     0.94700       6.100      0.8926644       0.225636      0.6670284
       950    -1.00000     2.62619      45.000       3.891418     0.02685709       3.864561
       951    -1.00000     0.31570       2.200       4.873085    0.002174849        4.87091
       960    -1.00000     0.49580       4.900       1.776309   1.604838e-19       1.776309
       965    -1.00000     1.60510       9.700       5.724796       1.394812       4.329983
       966     1.30300     1.30300       9.700       12.55378      0.1998402       12.35394
       972    -1.00000     0.32660     101.000       5.785815     0.00413112       5.781684
       974    -1.00000     5.79057     101.000       1.079488     0.05422997       1.025259
       994    -1.00000     1.02920       6.100       1.579654   1.403848e-19       1.579654
       995     1.30600     1.30600     101.000       3.680866      0.2136988       3.467168
      1002     0.94800     0.94800      14.500       1.339776       0.475512       0.864264
      1005    -1.00000     2.85000      50.000    0.007712376    0.007692458   1.991858e-05
      1006     0.94600     0.94600       6.100       2.624683      0.3319287       2.292754
      1008     1.02900     1.02900       6.100      0.3923982      0.3420238     0.05037439
      1023    -1.00000     2.21084     101.000       2.835116      0.2723355        2.56278
      1026    -1.00000     1.81105      25.000       2.344114      0.7585258       1.585588
      1035     0.77780     0.77780       4.900       7.304863       3.353886       3.950977
      1036    -1.00000     4.64620     101.000       9.962218       1.060957        8.90126
      1037     0.77030     0.77030       4.900       3.797534       1.070915       2.726619
      1042     1.06000     1.06000      18.000       11.36592       3.409732        7.95619
      1053    -1.00000     2.61522      50.000       1.187497      0.1814642       1.006033
      1058     1.03800     1.03800     101.000       11.07627       1.834662       9.241613
      1064    -1.00000     0.58690      12.100       0.317367   0.0004760883      0.3168909
      1075    -1.00000     1.15460       6.100       2.192327      0.5474601       1.644867
      1076    -1.00000     1.46610     101.000        2.39651       1.062238       1.334272
      1077     0.93800     0.93800       6.100       3.900003      0.7890735       3.110929
      1081    -1.00000     0.33930       4.900       1.266907    3.36289e-19       1.266907
