#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
      0.4866         0.4         0.6         0.5         0.2   2.681e+04
       0.501         0.4         0.6         0.5         0.2   2.681e+04
      0.4733         0.4         0.6         0.5         0.2   2.681e+04
      0.5111         0.4         0.6         0.5         0.2   2.681e+04
       0.585         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4         0.6         0.5         0.2   2.681e+04
      0.4843         0.4         0.6         0.5         0.2   2.681e+04
       0.514         0.4         0.6         0.5         0.2   2.681e+04
       0.559         0.4         0.6         0.5         0.2   2.681e+04
       0.484         0.4         0.6         0.5         0.2   2.681e+04
      0.5132         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4         0.6         0.5         0.2   2.681e+04
      0.5199         0.4         0.6         0.5         0.2   2.681e+04
      0.4372         0.4         0.6         0.5         0.2   2.681e+04
      0.4759         0.4         0.6         0.5         0.2   2.681e+04
       0.551         0.4         0.6         0.5         0.2   2.681e+04
      0.4097         0.4         0.6         0.5         0.2   2.681e+04
        0.41         0.4         0.6         0.5         0.2   2.681e+04
       0.513         0.4         0.6         0.5         0.2   2.681e+04
      0.5178         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
       0.513         0.4         0.6         0.5         0.2   2.681e+04
       0.432         0.4         0.6         0.5         0.2   2.681e+04
       0.502         0.4         0.6         0.5         0.2   2.681e+04
      0.5022         0.4         0.6         0.5         0.2   2.681e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4         0.6         0.5         0.2   2.681e+04
      0.4099         0.4         0.6         0.5         0.2   2.681e+04
      0.4099         0.4         0.6         0.5         0.2   2.681e+04
      0.5594         0.4         0.6         0.5         0.2   2.681e+04
      0.5344         0.4         0.6         0.5         0.2   2.681e+04
      0.5625         0.4         0.6         0.5         0.2   2.681e+04
      0.5739         0.4         0.6         0.5         0.2   2.681e+04
       0.435         0.4         0.6         0.5         0.2   2.681e+04
       0.562         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4         0.6         0.5         0.2   2.681e+04
       0.595         0.4         0.6         0.5         0.2   2.681e+04
       0.411         0.4         0.6         0.5         0.2   2.681e+04
        0.53         0.4         0.6         0.5         0.2   2.681e+04
      0.4587         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.4547         0.4         0.6         0.5         0.2   2.681e+04
       0.559         0.4         0.6         0.5         0.2   2.681e+04
       0.551         0.4         0.6         0.5         0.2   2.681e+04
      0.5603         0.4         0.6         0.5         0.2   2.681e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
       0.458         0.4         0.6         0.5         0.2   2.681e+04
       0.575         0.4         0.6         0.5         0.2   2.681e+04
       0.503         0.4         0.6         0.5         0.2   2.681e+04
       0.501         0.4         0.6         0.5         0.2   2.681e+04
       0.595         0.4         0.6         0.5         0.2   2.681e+04
      0.4099         0.4         0.6         0.5         0.2   2.681e+04
       0.559         0.4         0.6         0.5         0.2   2.681e+04
      0.5196         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4         0.6         0.5         0.2   2.681e+04
      0.5196         0.4         0.6         0.5         0.2   2.681e+04
       0.485         0.4         0.6         0.5         0.2   2.681e+04
      0.4742         0.4         0.6         0.5         0.2   2.681e+04
      0.4844         0.4         0.6         0.5         0.2   2.681e+04
      0.4879         0.4         0.6         0.5         0.2   2.681e+04
       0.503         0.4         0.6         0.5         0.2   2.681e+04
       0.502         0.4         0.6         0.5         0.2   2.681e+04
      0.5124         0.4         0.6         0.5         0.2   2.681e+04
      0.5035         0.4         0.6         0.5         0.2   2.681e+04
      0.5605         0.4         0.6         0.5         0.2   2.681e+04
      0.5843         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.5284         0.4         0.6         0.5         0.2   2.681e+04
      0.5344         0.4         0.6         0.5         0.2   2.681e+04
       0.518         0.4         0.6         0.5         0.2   2.681e+04
       0.504         0.4         0.6         0.5         0.2   2.681e+04
       0.485         0.4         0.6         0.5         0.2   2.681e+04
      0.4546         0.4         0.6         0.5         0.2   2.681e+04
      0.4852         0.4         0.6         0.5         0.2   2.681e+04
       0.561         0.4         0.6         0.5         0.2   2.681e+04
      0.5639         0.4         0.6         0.5         0.2   2.681e+04
       0.502         0.4         0.6         0.5         0.2   2.681e+04
      0.4103         0.4         0.6         0.5         0.2   2.681e+04
      0.4852         0.4         0.6         0.5         0.2   2.681e+04
      0.4547         0.4         0.6         0.5         0.2   2.681e+04
      0.5763         0.4         0.6         0.5         0.2   2.681e+04
      0.5196         0.4         0.6         0.5         0.2   2.681e+04
      0.5562         0.4         0.6         0.5         0.2   2.681e+04
      0.5284         0.4         0.6         0.5         0.2   2.681e+04
      0.4844         0.4         0.6         0.5         0.2   2.681e+04
      0.4111         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4         0.6         0.5         0.2   2.681e+04
      0.4751         0.4         0.6         0.5         0.2   2.681e+04
      0.4573         0.4         0.6         0.5         0.2   2.681e+04
      0.4751         0.4         0.6         0.5         0.2   2.681e+04
       0.432         0.4         0.6         0.5         0.2   2.681e+04
      0.4845         0.4         0.6         0.5         0.2   2.681e+04
      0.5287         0.4         0.6         0.5         0.2   2.681e+04
      0.5556         0.4         0.6         0.5         0.2   2.681e+04
       0.511         0.4         0.6         0.5         0.2   2.681e+04
      0.4842         0.4         0.6         0.5         0.2   2.681e+04
       0.484         0.4         0.6         0.5         0.2   2.681e+04
      0.4102         0.4         0.6         0.5         0.2   2.681e+04
       0.504         0.4         0.6         0.5         0.2   2.681e+04
       0.435         0.4         0.6         0.5         0.2   2.681e+04
      0.5609         0.4         0.6         0.5         0.2   2.681e+04
      0.4372         0.4         0.6         0.5         0.2   2.681e+04
      0.5577         0.4         0.6         0.5         0.2   2.681e+04
       0.411         0.4         0.6         0.5         0.2   2.681e+04
      0.5024         0.4         0.6         0.5         0.2   2.681e+04
      0.4111         0.4         0.6         0.5         0.2   2.681e+04
      0.4381         0.4         0.6         0.5         0.2   2.681e+04
       0.562         0.4         0.6         0.5         0.2   2.681e+04
      0.4084         0.4         0.6         0.5         0.2   2.681e+04
       0.484         0.4         0.6         0.5         0.2   2.681e+04
