#       id       zspec       zbest       ubest       chi2_min     S_chi2_min     R_chi2_min
#
         6     1.03500     1.03500       6.100        14.4291   1.214463e-19        14.4291
        18    -1.00000     1.15820       6.100       5.859548      0.8339055       5.025643
        35    -1.00000     0.40100     101.000       5.084914        3.22876       1.856155
        36    -1.00000     0.30670       2.200      0.5858986    0.005631454      0.5802672
        38    -1.00000     3.60792     101.000       4.476535    0.003100165       4.473435
        44    -1.00000     4.30830     101.000       28.03037       4.629219       23.40115
        48    -1.00000     2.46538      25.000       1.460157      0.8453379      0.6148191
        50    -1.00000     1.18400       6.100       4.443772   1.189453e-17       4.443772
        56    -1.00000     2.16448      40.000        10.9135       0.525557       10.38794
        64    -1.00000     1.34867      12.100       3.234377      0.6090122       2.625364
        65    -1.00000     2.34630      40.000      0.9173601      0.3539507      0.5634094
        91    -1.00000     0.36500       9.700      0.7329798    0.004029685      0.7289501
        95    -1.00000     2.44440      45.000       3.984979        3.81449      0.1704891
       106    -1.00000     2.19963      14.500       8.765516      0.2713199       8.494196
       107    -1.00000     0.48330     101.000       3.519327     0.01962939       3.499698
       112    -1.00000     1.22550      12.100      0.3783469   1.990129e-20      0.3783469
       123    -1.00000     2.60525      45.000       5.820867       5.009305      0.8115623
       126    -1.00000     1.21130       9.700       12.06424       7.271701       4.792537
       127     0.58200     0.58200       4.900       12.18259      0.1148219       12.06777
       130    -1.00000     3.93220     101.000       14.48162              0       14.48162
       132    -1.00000     1.32050       9.700       9.275653       2.398546       6.877107
       135    -1.00000     1.17490       6.100      0.9352991     0.01715682      0.9181423
       142    -1.00000     2.39625      25.000        6.09316       1.021629       5.071531
       145     0.28000     0.28000       2.200       5.939874       3.728792       2.211083
       152    -1.00000     0.33770       3.300      0.5069431    0.000453445      0.5064897
       158    -1.00000     1.60996       9.700       5.093215       2.799559       2.293655
       162     1.25600     1.25600     101.000       5.245302      0.1251109       5.120191
       169    -1.00000     2.28624      40.000       6.162679       5.849414      0.3132647
       175    -1.00000     1.83222      12.100       8.618124       1.545266       7.072858
       179    -1.00000     1.79040      25.000       5.334681        0.15192       5.182761
       180    -1.00000     1.18020       6.100       2.059335     0.06005592       1.999279
       185    -1.00000     0.40100       6.100       3.061014              0       3.061014
       186     1.25900     1.25900       9.700       3.360502       1.099387       2.261115
       207    -1.00000     2.09560      25.000       23.24921       22.51174      0.7374715
       208    -1.00000     1.97570      35.000       2.209771       1.256563      0.9532081
       213     0.50440     0.50440     101.000       59.27144     0.07372769       59.19772
       214    -1.00000     2.60528      50.000       4.343652       1.498556       2.845096
       216     0.15900     0.15900       4.900      0.7375573   2.451885e-19      0.7375573
       217    -1.00000     2.62848      40.000       5.691377       2.201012       3.490365
       227    -1.00000     0.91100      12.100       4.598968     0.01928437       4.579683
       239    -1.00000     3.37906      25.000       5.828112        1.00663       4.821482
       242    -1.00000     1.16447       6.100       1.157687     0.01963689        1.13805
       245    -1.00000     0.70530       4.900       7.723216      0.1903296       7.532887
       247    -1.00000     0.00100     101.000       7.736538   7.056118e-19       7.736538
       248     1.36300     1.36300      18.000        11.6405       10.02125       1.619248
       254    -1.00000     1.68000     101.000       15.08302       3.462759       11.62026
       255    -1.00000     1.29320     101.000       8.773684      0.8818383       7.891845
       256    -1.00000     2.63636      35.000       1.967465      0.2839501       1.683515
       257     2.43100     2.43100     101.000       36.58119       22.97256       13.60863
       262    -1.00000     0.32120       2.200       6.526385     0.02488127       6.501504
       264    -1.00000     2.24800     101.000       24.81463       16.57694        8.23769
       270    -1.00000     1.28245       9.700       7.055005       3.375512       3.679493
       277    -1.00000     2.52070      18.000       6.754738   0.0002731758       6.754465
       288    -1.00000     0.32130       9.700       1.793322     0.04513862       1.748183
       289    -1.00000     2.77650      40.000       4.805011      0.0694449       4.735566
       309    -1.00000     3.60100     101.000       14.49881   1.814593e-20       14.49881
       314    -1.00000     0.40100       4.900       4.215299   6.023696e-20       4.215299
       316    -1.00000     1.99882      30.000       3.081913      0.5378298       2.544084
       317    -1.00000     0.32860       3.300       1.967439     0.05436617       1.913073
       330    -1.00000     2.44084     101.000       4.560726      0.3673803       4.193345
       337    -1.00000     2.64000      45.000      0.3318547     0.03118898      0.3006658
       339    -1.00000     0.96180       6.100       0.803015    0.001166218      0.8018488
       340    -1.00000     1.43536      12.100       12.06952       9.478881       2.590643
       343    -1.00000     0.91260       6.100        1.41399      0.1303214       1.283669
       356    -1.00000     1.15510      18.000       1.697796    0.004163808       1.693632
       365    -1.00000     1.10380       6.100       1.382996       0.374547       1.008449
       368    -1.00000     0.87070       6.100       1.287866    0.004732023       1.283134
       371    -1.00000     0.40100     101.000       20.90973   6.344323e-20       20.90973
       374     0.81780     0.81780       6.100       2.967575      0.1103551        2.85722
       375    -1.00000     1.34136       9.700    0.003303339   5.306033e-05    0.003250279
       376    -1.00000     2.48530      25.000      0.4657927   2.127763e-18      0.4657927
       379    -1.00000     4.86420     101.000        25.8338       2.818776       23.01502
       381    -1.00000     3.74110      30.000       30.77463       7.286973       23.48766
       385    -1.00000     2.47361      25.000       1.136189     0.08085632       1.055332
       390    -1.00000     2.11181      35.000       5.346298      0.1709527       5.175346
       391    -1.00000     2.02120      35.000      0.3039462    0.008624069      0.2953221
       394    -1.00000     1.00100       6.100      0.5040713   8.791628e-18      0.5040713
       398    -1.00000     0.92370       6.100        1.76638       1.246954      0.5194257
       399    -1.00000     3.00030      50.000       6.834171       1.359304       5.474867
       401     1.25100     1.25100       9.700       10.26568       5.156339       5.109337
       407     1.52100     1.52100      12.100        1.59369     0.05396293       1.539727
       409    -1.00000     0.69970      12.100       6.065735     0.00947839       6.056256
       413    -1.00000     0.70330       4.900       3.000551      0.0392704        2.96128
       414    -1.00000     1.02020     101.000       5.255212      0.3309137       4.924298
       416    -1.00000     0.33580       4.900       2.453575      0.0389282       2.414646
       418    -1.00000     1.27040      18.000       6.845039       1.172112       5.672927
       421    -1.00000     1.11904       6.100       4.678565      0.5445504       4.134015
       428    -1.00000     1.08390       6.100       2.688037      0.4221977       2.265839
       429    -1.00000     0.95650     101.000       4.315182       1.429433       2.885749
       430     1.25300     1.25300      18.000         9.4017       6.595544       2.806156
       431     0.67600     0.67600       9.700         15.105      0.1168778       14.98813
       432    -1.00000     0.67250       9.700       3.406326       0.255186        3.15114
       433    -1.00000     0.40100       9.700       1.905731   2.974338e-20       1.905731
       437    -1.00000     2.90595      50.000       7.605641       1.176286       6.429355
       438    -1.00000     1.06570     101.000       2.991207      0.2284415       2.762766
       439    -1.00000     1.35690       9.700       12.30922      0.8840765       11.42514
       442    -1.00000     1.22380       9.700      0.7916618   2.013771e-19      0.7916618
       449    -1.00000     0.19930       2.200       14.32298   2.778668e-20       14.32298
       450    -1.00000     4.74430     101.000        28.8362       4.502638       24.33356
       451     1.01900     1.01900       6.100       1.932257      0.4211708       1.511086
       468    -1.00000     4.87510     101.000       22.63075       1.104105       21.52664
       481     0.17900     0.17900     101.000        9.05204   3.306216e-18        9.05204
       482    -1.00000     1.97570      25.000       1.459184      0.1489668       1.310218
       490    -1.00000     0.98920       6.100       6.694156       0.289766        6.40439
       498    -1.00000     3.87760     101.000       8.334063    0.009118733       8.324944
       501    -1.00000     2.10310     101.000       6.751059      0.1909335       6.560126
       502    -1.00000     2.26928      14.500        3.31509      0.6639004       2.651189
       503    -1.00000     2.14264      25.000       7.082827       6.008424       1.074403
       505    -1.00000     3.03300      30.000       4.414171       2.770957       1.643214
       506    -1.00000     0.40100     101.000       2.390817   2.224255e-20       2.390817
       509     0.45200     0.45200       4.900       2.341658       0.580356       1.761302
       510     0.67980     0.67980       6.100       2.993869    0.005139097        2.98873
       512    -1.00000     0.94740       9.700       3.793005       1.881106       1.911899
       516    -1.00000     3.80100     101.000       30.39397     0.00503869       30.38893
       521     1.03700     1.03700       6.100       4.186115       1.007807       3.178309
       530     0.64000     0.64000       4.900       2.390023      0.2709145       2.119108
       532     0.97460     0.97460       6.100       1.606811      0.1664483       1.440363
       533     1.03000     1.03000      18.000       8.428398      0.9799365       7.448461
       540    -1.00000     2.46620      45.000       1.309349     0.05567583       1.253674
       541     0.80100     0.80100       4.900       1.519363      0.6154989      0.9038643
       546    -1.00000     2.95746      50.000       1.442916    0.003314675       1.439602
       547    -1.00000     2.70888      40.000      0.9625052    0.003061728      0.9594435
