#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       1.531         1.5           2        1.75         0.5    2.25e+05
       1.795         1.5           2        1.75         0.5    2.25e+05
        1.96         1.5           2        1.75         0.5    2.25e+05
       1.953         1.5           2        1.75         0.5    2.25e+05
       1.968         1.5           2        1.75         0.5    2.25e+05
       1.872         1.5           2        1.75         0.5    2.25e+05
       1.522         1.5           2        1.75         0.5    2.25e+05
       1.684         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5           2        1.75         0.5    2.25e+05
       1.599         1.5           2        1.75         0.5    2.25e+05
       1.689         1.5           2        1.75         0.5    2.25e+05
        1.62         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
       1.535         1.5           2        1.75         0.5    2.25e+05
        1.93         1.5           2        1.75         0.5    2.25e+05
       1.807         1.5           2        1.75         0.5    2.25e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5           2        1.75         0.5    2.25e+05
       1.973         1.5           2        1.75         0.5    2.25e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.78         1.5           2        1.75         0.5    2.25e+05
       1.996         1.5           2        1.75         0.5    2.25e+05
       1.993         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.926         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5           2        1.75         0.5    2.25e+05
       1.604         1.5           2        1.75         0.5    2.25e+05
       1.594         1.5           2        1.75         0.5    2.25e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
       1.777         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.59         1.5           2        1.75         0.5    2.25e+05
       1.946         1.5           2        1.75         0.5    2.25e+05
        1.91         1.5           2        1.75         0.5    2.25e+05
       1.987         1.5           2        1.75         0.5    2.25e+05
        1.87         1.5           2        1.75         0.5    2.25e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
        1.59         1.5           2        1.75         0.5    2.25e+05
       1.979         1.5           2        1.75         0.5    2.25e+05
         1.6         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.58         1.5           2        1.75         0.5    2.25e+05
       1.517         1.5           2        1.75         0.5    2.25e+05
       1.521         1.5           2        1.75         0.5    2.25e+05
       1.775         1.5           2        1.75         0.5    2.25e+05
       1.673         1.5           2        1.75         0.5    2.25e+05
       1.828         1.5           2        1.75         0.5    2.25e+05
        1.77         1.5           2        1.75         0.5    2.25e+05
       1.525         1.5           2        1.75         0.5    2.25e+05
       1.946         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5           2        1.75         0.5    2.25e+05
        1.93         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
        1.95         1.5           2        1.75         0.5    2.25e+05
       1.777         1.5           2        1.75         0.5    2.25e+05
        1.93         1.5           2        1.75         0.5    2.25e+05
       1.966         1.5           2        1.75         0.5    2.25e+05
       1.619         1.5           2        1.75         0.5    2.25e+05
       1.627         1.5           2        1.75         0.5    2.25e+05
       1.867         1.5           2        1.75         0.5    2.25e+05
       1.914         1.5           2        1.75         0.5    2.25e+05
       1.524         1.5           2        1.75         0.5    2.25e+05
       1.973         1.5           2        1.75         0.5    2.25e+05
       1.642         1.5           2        1.75         0.5    2.25e+05
       1.988         1.5           2        1.75         0.5    2.25e+05
        1.91         1.5           2        1.75         0.5    2.25e+05
        1.78         1.5           2        1.75         0.5    2.25e+05
       1.531         1.5           2        1.75         0.5    2.25e+05
        1.71         1.5           2        1.75         0.5    2.25e+05
       1.968         1.5           2        1.75         0.5    2.25e+05
       1.526         1.5           2        1.75         0.5    2.25e+05
