#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       4.229           4           5         4.5           1   4.185e+05
       4.051           4           5         4.5           1   4.185e+05
       4.051           4           5         4.5           1   4.185e+05
        4.82           4           5         4.5           1   4.185e+05
       4.758           4           5         4.5           1   4.185e+05
       4.051           4           5         4.5           1   4.185e+05
       4.056           4           5         4.5           1   4.185e+05
       4.051           4           5         4.5           1   4.185e+05
       4.056           4           5         4.5           1   4.185e+05
       4.007           4           5         4.5           1   4.185e+05
       4.056           4           5         4.5           1   4.185e+05
