#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vbin
#
       0.136           0         0.2         0.1         0.2        2111
       0.131           0         0.2         0.1         0.2        2111
       0.051           0         0.2         0.1         0.2        2111
       0.051           0         0.2         0.1         0.2        2111
       0.112           0         0.2         0.1         0.2        2111
        0.09           0         0.2         0.1         0.2        2111
      0.1947           0         0.2         0.1         0.2        2111
      0.1892           0         0.2         0.1         0.2        2111
       0.114           0         0.2         0.1         0.2        2111
      0.1049           0         0.2         0.1         0.2        2111
      0.1137           0         0.2         0.1         0.2        2111
      0.0786           0         0.2         0.1         0.2        2111
      0.1947           0         0.2         0.1         0.2        2111
      0.1947           0         0.2         0.1         0.2        2111
       0.136           0         0.2         0.1         0.2        2111
       0.051           0         0.2         0.1         0.2        2111
       0.114           0         0.2         0.1         0.2        2111
      0.0786           0         0.2         0.1         0.2        2111
       0.051           0         0.2         0.1         0.2        2111
      0.1389           0         0.2         0.1         0.2        2111
