#      coo_z    coo_zmin    coo_zmax    coo_zcen    coo_zdis    coo_Vmax
#
       2.892         2.5           3        2.75         0.5   2.404e+05
       2.892         2.5           3        2.75         0.5   2.404e+05
       2.587         2.5           3        2.75         0.5   2.404e+05
       2.546         2.5           3        2.75         0.5   2.404e+05
       2.608         2.5           3        2.75         0.5   2.404e+05
        2.72         2.5        2.92        2.71        0.42   2.022e+05
       2.514         2.5       2.634       2.567       0.134   6.471e+04
       2.514         2.5       2.634       2.567       0.134   6.471e+04
        2.99         2.5           3        2.75         0.5   2.404e+05
       2.635         2.5           3        2.75         0.5   2.404e+05
       2.608         2.5           3        2.75         0.5   2.404e+05
        2.69         2.5        2.99       2.745        0.49   2.356e+05
       2.724         2.5           3        2.75         0.5   2.404e+05
        2.72         2.5        2.92        2.71        0.42   2.022e+05
       2.964         2.5           3        2.75         0.5   2.404e+05
       2.921         2.5           3        2.75         0.5   2.404e+05
        2.65         2.5           3        2.75         0.5   2.404e+05
       2.921         2.5           3        2.75         0.5   2.404e+05
       2.892         2.5           3        2.75         0.5   2.404e+05
        2.76         2.5           3        2.75         0.5   2.404e+05
       2.914         2.5           3        2.75         0.5   2.404e+05
       2.575         2.5       2.895       2.697       0.395   1.902e+05
